"id","memname","icode","indus","pac","indiv","totals","sourcedate","cycle","Origin","Source"
"N00031134","Patrick Meehan (R)","F09","Insurance","159950","26400","186350","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","K01","Lawyers/Law Firms","48700","126300","175000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","H04","Pharmaceuticals/Health Products","135200","17410","152610","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","F07","Securities & Investment","60000","79350","139350","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","H01","Health Professionals","72000","10950","82950","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","F10","Real Estate","37000","39875","76875","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","E01","Oil & Gas","60750","15700","76450","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","Q03","Leadership PACs","61646","0","61646","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","F11","Accountants","51440","7550","58990","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","K02","Lobbyists","500","55400","55900","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","H02","Hospitals/Nursing Homes","41000","14650","55650","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","H03","Health Services/HMOs","48750","2500","51250","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","F03","Commercial Banks","49000","1500","50500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","B09","Telecom Services","24000","25100","49100","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","B12","Electronics Mfg & Equip","42136","4250","46386","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","M01","Air Transport","40000","5200","45200","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","P03","Transportation Unions","43500","0","43500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","E08","Electric Utilities","40000","1500","41500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N05","Business Services","13500","26250","39750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","C04","Construction Services","13500","26250","39750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N13","Chemical & Related Manufacturing","39000","0","39000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","D01","Defense Aerospace","29000","8650","37650","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","P01","Building Trade Unions","36000","0","36000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
