"id","memname","icode","indus","pac","indiv","totals","sourcedate","cycle","Origin","Source"
"N00007360","Nancy Pelosi (D)","Q02","Democratic/Liberal","500","297276","297776","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","H01","Health Professionals","204000","24216","228216","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","W06","Retired","0","186749","186749","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","Q08","Women's Issues","5000","166194","171194","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","P04","Public Sector Unions","101000","625","101625","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","Q10","Misc Issues","15000","81103","96103","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","B12","Electronics Mfg & Equip","69500","21687","91187","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","K01","Lawyers/Law Firms","33000","52644","85644","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","F10","Real Estate","46000","36892","82892","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","F07","Securities & Investment","34500","46080","80580","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
