Lobbying Firm,Client Prefix,Client First Name,Client Middle,Client Last Name,Client Suffix,Report Quarter,Report Year,Amount Paid,Lobbying Firm Quarterly Report
Psomas,,,,"Beverly La Cienega, LLC",,1,2013,$0.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=3929
Astor & Kingsland,,,,Los Angeles County Waste Management Association,,1,2013,$1500.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=3939
Wayne Avrashow - Law Offices,,,,Forestar Real Estate Group,,1,2013,$39723.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4081
Wayne Avrashow - Law Offices,,,,Stanley Hill LLC ,,1,2013,$10000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4081
McCarty Co LLC,,,,Associated Estates Realty Corporation,,1,2013,$9870.50,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4099
McCarty Co LLC,,,,Avalon Bay Communities Inc,,1,2013,$44406.25,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4099
McCarty Co LLC,,,,"GH Palmer Assoc (Palmer/Flower Street Properties, LP)",,1,2013,$27125.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4099
McCarty Co LLC,,,,L&R Parking,,1,2013,$7087.50,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4099
McCarty Co LLC,,,,Medical Asset Management,,1,2013,$18143.75,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4099
McCarty Co LLC,,,,Sares Regis Group/Michael J. Wnter,,1,2013,$3106.25,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4099
Morris and Swanson,,,,Altria Client Services LLC,,1,2013,$18124.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4131
"Andrew Casana and Associates, LLC",,,,7-11,,1,2013,$30000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4157
"Alpert Barr & Grant, A Professional Law Corporation",,,,Geosyntec Consultants,,1,2013,$22500.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4255
"Alpert Barr & Grant, A Professional Law Corporation",,,,"Playa Capital Company, LLC",,1,2013,$15807.60,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4255
"Alpert Barr & Grant, A Professional Law Corporation",,,,Scatec Solar,,1,2013,$28990.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4255
"Alpert Barr & Grant, A Professional Law Corporation",,,,Shubin-Nadal Realty Investors,,1,2013,$4950.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4255
"Alpert Barr & Grant, A Professional Law Corporation",,,,"SODA MOUNTAIN SOLAR, LLC",,1,2013,$32250.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4255
McCarty Co LLC,,,,"Outback Steakhouse, Inc.",,1,2013,$7962.50,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4099
McCarty Co LLC,,,,State Bar of California,,1,2013,$19162.50,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4099
McCarty Co LLC,,,,Wood Partners,,1,2013,$19031.25,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4099
Arnie Berghoff & Associates,,,,American Medical Response of So. California (AMR),,1,2013,$50000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,Athens Services,,1,2013,$60000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,Arcadis US Inc.,,1,2013,$0.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,Barren Ridge 1  (Recurrent Energy),,1,2013,$32000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,BNSF Railway Company,,1,2013,$10000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,Cisco Systems Inc,,1,2013,$25252.50,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,City of Beverly Hills,,1,2013,$11000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,Clear Channel Airports,,1,2013,$30000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,Clear Channel Outdoor,,1,2013,$10000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,Estate Research Associates,,1,2013,$6000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,"Green Conversion Systems, LLC",,1,2013,$0.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,"IMPEX Technologies, Inc.",,1,2013,$10000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,NORESCO LLC,,1,2013,$25000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,"Oracle America, Inc.",,1,2013,$15000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,Repipe California / Inland Pipe Rehabilitation LLC,,1,2013,$22500.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,"SAS Institute, Inc.",,1,2013,$7500.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,"SERCO, Inc.",,1,2013,$36000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,World Wide Technology,,1,2013,$11250.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
Arnie Berghoff & Associates,,,,Affirmed Housing Group,,1,2013,$26500.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4263
JK Land Use Consulting,,,,Lincoln Property Company,,1,2013,$9178.81,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4375
JK Land Use Consulting,,,,The Broad Collection,,1,2013,$1400.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4375
Afriat Consulting Group Inc,,,,Angelenos for Safe Access Committee,,1,2013,$5000.00,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&DOCUMENT_ID=4372
